name,value,year,lastValue,rank
dashing,NA,2013.000000,NA,13
eloquent,NA,2013.000000,NA,14
fuerte,383,2013.080000,325,2
groovy,1318,2013.080000,1138,1
hydro,NA,2013.080000,NA,3
indigo,NA,2013.080000,NA,4
jade,NA,2013.080000,NA,5
kinetic,NA,2013.080000,NA,6
lunar,NA,2013.080000,NA,7
melodic,NA,2013.080000,NA,8
ardent,NA,2013.080000,NA,10
bouncy,NA,2013.080000,NA,11
crystal,NA,2013.080000,NA,12
dashing,NA,2013.080000,NA,13
eloquent,NA,2013.080000,NA,14
fuerte,418,2013.160000,383,2
groovy,1427,2013.160000,1318,1
hydro,12,2013.160000,NA,3
indigo,NA,2013.160000,NA,4
jade,NA,2013.160000,NA,5
kinetic,NA,2013.160000,NA,6
lunar,NA,2013.160000,NA,7
melodic,NA,2013.160000,NA,8
ardent,NA,2013.160000,NA,10
bouncy,NA,2013.160000,NA,11
crystal,NA,2013.160000,NA,12
dashing,NA,2013.160000,NA,13
eloquent,NA,2013.160000,NA,14
fuerte,441,2013.250000,418,2
groovy,1546,2013.250000,1427,1
hydro,103,2013.250000,12,3
indigo,NA,2013.250000,NA,4
jade,NA,2013.250000,NA,5
kinetic,NA,2013.250000,NA,6
lunar,NA,2013.250000,NA,7
melodic,NA,2013.250000,NA,8
ardent,NA,2013.250000,NA,10
bouncy,NA,2013.250000,NA,11
crystal,NA,2013.250000,NA,12
dashing,NA,2013.250000,NA,13
eloquent,NA,2013.250000,NA,14
fuerte,450,2013.330000,441,2
groovy,1688,2013.330000,1546,1
hydro,229,2013.330000,103,3
indigo,NA,2013.330000,NA,4
jade,NA,2013.330000,NA,5
kinetic,NA,2013.330000,NA,6
lunar,NA,2013.330000,NA,7
melodic,NA,2013.330000,NA,8
ardent,NA,2013.330000,NA,10
bouncy,NA,2013.330000,NA,11
crystal,NA,2013.330000,NA,12
dashing,NA,2013.330000,NA,13
eloquent,NA,2013.330000,NA,14
fuerte,456,2013.410000,450,2
groovy,1857,2013.410000,1688,1
hydro,318,2013.410000,229,3
indigo,NA,2013.410000,NA,4
jade,NA,2013.410000,NA,5
kinetic,NA,2013.410000,NA,6
lunar,NA,2013.410000,NA,7
melodic,NA,2013.410000,NA,8
ardent,NA,2013.410000,NA,10
bouncy,NA,2013.410000,NA,11
crystal,NA,2013.410000,NA,12
dashing,NA,2013.410000,NA,13
eloquent,NA,2013.410000,NA,14
fuerte,456,2013.500000,456,3
groovy,1952,2013.500000,1857,1
hydro,491,2013.500000,318,2
indigo,NA,2013.500000,NA,4
jade,NA,2013.500000,NA,5
kinetic,NA,2013.500000,NA,6
lunar,NA,2013.500000,NA,7
melodic,NA,2013.500000,NA,8
ardent,NA,2013.500000,NA,10
bouncy,NA,2013.500000,NA,11
crystal,NA,2013.500000,NA,12
dashing,NA,2013.500000,NA,13
eloquent,NA,2013.500000,NA,14
fuerte,457,2013.580000,456,3
groovy,2056,2013.580000,1952,1
hydro,901,2013.580000,491,2
indigo,NA,2013.580000,NA,4
jade,NA,2013.580000,NA,5
kinetic,NA,2013.580000,NA,6
lunar,NA,2013.580000,NA,7
melodic,NA,2013.580000,NA,8
ardent,NA,2013.580000,NA,10
bouncy,NA,2013.580000,NA,11
crystal,NA,2013.580000,NA,12
dashing,NA,2013.580000,NA,13
eloquent,NA,2013.580000,NA,14
fuerte,459,2013.660000,457,3
groovy,2164,2013.660000,2056,1
hydro,1163,2013.660000,901,2
indigo,NA,2013.660000,NA,4
jade,NA,2013.660000,NA,5
kinetic,NA,2013.660000,NA,6
lunar,NA,2013.660000,NA,7
melodic,NA,2013.660000,NA,8
ardent,NA,2013.660000,NA,10
bouncy,NA,2013.660000,NA,11
crystal,NA,2013.660000,NA,12
dashing,NA,2013.660000,NA,13
eloquent,NA,2013.660000,NA,14
fuerte,460,2013.750000,459,3
groovy,2257,2013.750000,2164,1
hydro,1404,2013.750000,1163,2
indigo,NA,2013.750000,NA,4
jade,NA,2013.750000,NA,5
kinetic,NA,2013.750000,NA,6
lunar,NA,2013.750000,NA,7
melodic,NA,2013.750000,NA,8
ardent,NA,2013.750000,NA,10
bouncy,NA,2013.750000,NA,11
crystal,NA,2013.750000,NA,12
dashing,NA,2013.750000,NA,13
eloquent,NA,2013.750000,NA,14
fuerte,460,2013.830000,460,3
groovy,2319,2013.830000,2257,1
hydro,1593,2013.830000,1404,2
indigo,NA,2013.830000,NA,4
jade,NA,2013.830000,NA,5
kinetic,NA,2013.830000,NA,6
lunar,NA,2013.830000,NA,7
melodic,NA,2013.830000,NA,8
ardent,NA,2013.830000,NA,10
bouncy,NA,2013.830000,NA,11
crystal,NA,2013.830000,NA,12
dashing,NA,2013.830000,NA,13
eloquent,NA,2013.830000,NA,14
fuerte,460,2013.910000,460,3
