name,value,year,lastValue,rank
melodic,NA,2017.000000,NA,8
ardent,NA,2017.000000,NA,10
bouncy,NA,2017.000000,NA,11
crystal,NA,2017.000000,NA,12
dashing,NA,2017.000000,NA,13
eloquent,NA,2017.000000,NA,14
fuerte,460,2017.080000,460,6
groovy,2990,2017.080000,2990,3
hydro,4634,2017.080000,4634,2
indigo,5495,2017.080000,5406,1
jade,1634,2017.080000,1579,4
kinetic,1135,2017.080000,1049,5
lunar,1,2017.080000,NA,7
melodic,NA,2017.080000,NA,8
ardent,NA,2017.080000,NA,10
bouncy,NA,2017.080000,NA,11
crystal,NA,2017.080000,NA,12
dashing,NA,2017.080000,NA,13
eloquent,NA,2017.080000,NA,14
fuerte,460,2017.160000,460,6
groovy,2990,2017.160000,2990,3
hydro,4634,2017.160000,4634,2
indigo,5586,2017.160000,5495,1
jade,1681,2017.160000,1634,4
kinetic,1240,2017.160000,1135,5
lunar,45,2017.160000,1,7
melodic,NA,2017.160000,NA,8
ardent,NA,2017.160000,NA,10
bouncy,NA,2017.160000,NA,11
crystal,NA,2017.160000,NA,12
dashing,NA,2017.160000,NA,13
eloquent,NA,2017.160000,NA,14
fuerte,460,2017.250000,460,6
groovy,2990,2017.250000,2990,3
hydro,4634,2017.250000,4634,2
indigo,5710,2017.250000,5586,1
jade,1751,2017.250000,1681,4
kinetic,1356,2017.250000,1240,5
lunar,94,2017.250000,45,7
melodic,NA,2017.250000,NA,8
ardent,NA,2017.250000,NA,10
bouncy,NA,2017.250000,NA,11
crystal,NA,2017.250000,NA,12
dashing,NA,2017.250000,NA,13
eloquent,NA,2017.250000,NA,14
fuerte,460,2017.330000,460,6
groovy,2990,2017.330000,2990,3
hydro,4634,2017.330000,4634,2
indigo,5811,2017.330000,5710,1
jade,1823,2017.330000,1751,4
kinetic,1497,2017.330000,1356,5
lunar,206,2017.330000,94,7
melodic,NA,2017.330000,NA,8
ardent,NA,2017.330000,NA,10
bouncy,NA,2017.330000,NA,11
crystal,NA,2017.330000,NA,12
dashing,NA,2017.330000,NA,13
eloquent,NA,2017.330000,NA,14
fuerte,460,2017.410000,460,6
groovy,2990,2017.410000,2990,3
hydro,4634,2017.410000,4634,2
indigo,5876,2017.410000,5811,1
jade,1860,2017.410000,1823,4
kinetic,1602,2017.410000,1497,5
lunar,254,2017.410000,206,7
melodic,NA,2017.410000,NA,8
ardent,NA,2017.410000,NA,10
bouncy,NA,2017.410000,NA,11
crystal,NA,2017.410000,NA,12
dashing,NA,2017.410000,NA,13
eloquent,NA,2017.410000,NA,14
fuerte,460,2017.500000,460,6
groovy,2990,2017.500000,2990,3
hydro,4634,2017.500000,4634,2
indigo,5937,2017.500000,5876,1
jade,1908,2017.500000,1860,4
kinetic,1709,2017.500000,1602,5
lunar,317,2017.500000,254,7
melodic,NA,2017.500000,NA,8
ardent,NA,2017.500000,NA,10
bouncy,NA,2017.500000,NA,11
crystal,NA,2017.500000,NA,12
dashing,NA,2017.500000,NA,13
eloquent,NA,2017.500000,NA,14
fuerte,460,2017.580000,460,6
groovy,2990,2017.580000,2990,3
hydro,4634,2017.580000,4634,2
indigo,6033,2017.580000,5937,1
jade,1931,2017.580000,1908,4
kinetic,1787,2017.580000,1709,5
lunar,354,2017.580000,317,7
melodic,NA,2017.580000,NA,8
ardent,NA,2017.580000,NA,10
bouncy,NA,2017.580000,NA,11
crystal,NA,2017.580000,NA,12
dashing,NA,2017.580000,NA,13
eloquent,NA,2017.580000,NA,14
fuerte,460,2017.660000,460,6
groovy,2992,2017.660000,2990,3
hydro,4636,2017.660000,4634,2
indigo,6083,2017.660000,6033,1
jade,1944,2017.660000,1931,4
kinetic,1874,2017.660000,1787,5
lunar,405,2017.660000,354,7
melodic,NA,2017.660000,NA,8
ardent,NA,2017.660000,NA,10
bouncy,NA,2017.660000,NA,11
crystal,NA,2017.660000,NA,12
dashing,NA,2017.660000,NA,13
eloquent,NA,2017.660000,NA,14
fuerte,460,2017.750000,460,6
groovy,2992,2017.750000,2992,3
hydro,4636,2017.750000,4636,2
indigo,6134,2017.750000,6083,1
jade,1947,2017.750000,1944,4
kinetic,1942,2017.750000,1874,5
lunar,434,2017.750000,405,7
melodic,NA,2017.750000,NA,8
ardent,NA,2017.750000,NA,10
bouncy,NA,2017.750000,NA,11
crystal,NA,2017.750000,NA,12
dashing,NA,2017.750000,NA,13
eloquent,NA,2017.750000,NA,14
fuerte,460,2017.830000,460,7
groovy,2992,2017.830000,2992,3
hydro,4636,2017.830000,4636,2
indigo,6191,2017.830000,6134,1
jade,1947,2017.830000,1947,5
kinetic,2038,2017.830000,1942,4
lunar,491,2017.830000,434,6
melodic,NA,2017.830000,NA,8
ardent,NA,2017.830000,NA,10
bouncy,NA,2017.830000,NA,11
crystal,NA,2017.830000,NA,12
dashing,NA,2017.830000,NA,13
eloquent,NA,2017.830000,NA,14
fuerte,460,2017.910000,460,7
groovy,2992,2017.910000,2992,3
hydro,4636,2017.910000,4636,2
indigo,6252,2017.910000,6191,1
jade,1947,2017.910000,1947,5
kinetic,2183,2017.910000,2038,4
lunar,565,2017.910000,491,6
melodic,NA,2017.910000,NA,8
ardent,NA,2017.910000,NA,10
bouncy,NA,2017.910000,NA,11
crystal,NA,2017.910000,NA,12
dashing,NA,2017.910000,NA,13
eloquent,NA,2017.910000,NA,14
fuerte,460,2018.000000,460,7
groovy,2992,2018.000000,2992,3
hydro,4636,2018.000000,4636,2
indigo,6290,2018.000000,6252,1
jade,1947,2018.000000,1947,5
kinetic,2265,2018.000000,2183,4
lunar,599,2018.000000,565,6
melodic,NA,2018.000000,NA,9
ardent,173,2018.000000,NA,8
bouncy,NA,2018.000000,NA,11
crystal,NA,2018.000000,NA,12
dashing,NA,2018.000000,NA,13
eloquent,NA,2018.000000,NA,14
fuerte,460,2018.080000,460,7
groovy,2992,2018.080000,2992,3
hydro,4636,2018.080000,4636,2
indigo,6365,2018.080000,6290,1
jade,1947,2018.080000,1947,5
kinetic,2357,2018.080000,2265,4
lunar,636,2018.080000,599,6
melodic,24,2018.080000,NA,9
ardent,173,2018.080000,173,8
bouncy,NA,2018.080000,NA,11
crystal,NA,2018.080000,NA,12
dashing,NA,2018.080000,NA,13
eloquent,NA,2018.080000,NA,14
fuerte,460,2018.160000,460,7
groovy,2992,2018.160000,2992,3
hydro,4636,2018.160000,4636,2
indigo,6403,2018.160000,6365,1
jade,1947,2018.160000,1947,5
kinetic,2452,2018.160000,2357,4
lunar,668,2018.160000,636,6
melodic,38,2018.160000,24,9
ardent,188,2018.160000,173,8
bouncy,NA,2018.160000,NA,11
crystal,NA,2018.160000,NA,12
dashing,NA,2018.160000,NA,13
eloquent,NA,2018.160000,NA,14
fuerte,460,2018.250000,460,7
groovy,2992,2018.250000,2992,3
hydro,4636,2018.250000,4636,2
indigo,6437,2018.250000,6403,1
jade,1947,2018.250000,1947,5
kinetic,2563,2018.250000,2452,4
lunar,702,2018.250000,668,6
melodic,105,2018.250000,38,9
ardent,191,2018.250000,188,8
bouncy,NA,2018.250000,NA,11
crystal,NA,2018.250000,NA,12
dashing,NA,2018.250000,NA,13
eloquent,NA,2018.250000,NA,14
fuerte,460,2018.330000,460,7
groovy,2992,2018.330000,2992,3
hydro,4636,2018.330000,4636,2
indigo,6505,2018.330000,6437,1
jade,1947,2018.330000,1947,5
kinetic,2725,2018.330000,2563,4
lunar,755,2018.330000,702,6
melodic,178,2018.330000,105,9
ardent,192,2018.330000,191,8
bouncy,NA,2018.330000,NA,11
crystal,NA,2018.330000,NA,12
dashing,NA,2018.330000,NA,13
eloquent,NA,2018.330000,NA,14
fuerte,460,2018.410000,460,7
groovy,2992,2018.410000,2992,3
hydro,4636,2018.410000,4636,2
indigo,6542,2018.410000,6505,1
jade,1947,2018.410000,1947,5
kinetic,2856,2018.410000,2725,4
lunar,812,2018.410000,755,6
melodic,319,2018.410000,178,8
ardent,192,2018.410000,192,9
bouncy,NA,2018.410000,NA,11
crystal,NA,2018.410000,NA,12
dashing,NA,2018.410000,NA,13
eloquent,NA,2018.410000,NA,14
fuerte,460,2018.500000,460,7
groovy,2992,2018.500000,2992,3
hydro,4636,2018.500000,4636,2
indigo,6579,2018.500000,6542,1
jade,1947,2018.500000,1947,5
kinetic,2955,2018.500000,2856,4
lunar,842,2018.500000,812,6
melodic,374,2018.500000,319,8
ardent,192,2018.500000,192,9
bouncy,150,2018.500000,NA,10
crystal,NA,2018.500000,NA,12
dashing,NA,2018.500000,NA,13
eloquent,NA,2018.500000,NA,14
fuerte,460,2018.580000,460,8
groovy,2992,2018.580000,2992,4
hydro,4636,2018.580000,4636,2
indigo,6651,2018.580000,6579,1
jade,1947,2018.580000,1947,5
kinetic,3073,2018.580000,2955,3
lunar,894,2018.580000,842,6
melodic,463,2018.580000,374,7
ardent,197,2018.580000,192,9
bouncy,173,2018.580000,150,10
crystal,NA,2018.580000,NA,12
dashing,NA,2018.580000,NA,13
eloquent,NA,2018.580000,NA,14
fuerte,460,2018.660000,460,8
groovy,2992,2018.660000,2992,4
hydro,4636,2018.660000,4636,2
indigo,6687,2018.660000,6651,1
jade,1947,2018.660000,1947,5
kinetic,3162,2018.660000,3073,3
lunar,972,2018.660000,894,6
melodic,548,2018.660000,463,7
ardent,199,2018.660000,197,9
bouncy,186,2018.660000,173,10
crystal,NA,2018.660000,NA,12
dashing,NA,2018.660000,NA,13
eloquent,NA,2018.660000,NA,14
fuerte,460,2018.750000,460,8
groovy,2992,2018.750000,2992,4
hydro,4636,2018.750000,4636,2
indigo,6702,2018.750000,6687,1
jade,1947,2018.750000,1947,5
kinetic,3210,2018.750000,3162,3
lunar,1006,2018.750000,972,6
melodic,617,2018.750000,548,7
ardent,199,2018.750000,199,9
bouncy,191,2018.750000,186,10
crystal,NA,2018.750000,NA,12
dashing,NA,2018.750000,NA,13
eloquent,NA,2018.750000,NA,14
fuerte,460,2018.830000,460,8
groovy,2992,2018.830000,2992,4
hydro,4636,2018.830000,4636,2
indigo,6729,2018.830000,6702,1
jade,1947,2018.830000,1947,5
kinetic,3275,2018.830000,3210,3
lunar,1027,2018.830000,1006,6
melodic,670,2018.830000,617,7
ardent,199,2018.830000,199,9
bouncy,197,2018.830000,191,10
crystal,NA,2018.830000,NA,12
dashing,NA,2018.830000,NA,13
eloquent,NA,2018.830000,NA,14
fuerte,460,2018.910000,460,8
groovy,2992,2018.910000,2992,4
hydro,4636,2018.910000,4636,2
indigo,6753,2018.910000,6729,1
jade,1947,2018.910000,1947,5
kinetic,3347,2018.910000,3275,3
lunar,1054,2018.910000,1027,6
melodic,716,2018.910000,670,7
ardent,199,2018.910000,199,9
bouncy,198,2018.910000,197,10
crystal,76,2018.910000,NA,11
dashing,NA,2018.910000,NA,13
eloquent,NA,2018.910000,NA,14
fuerte,460,2019.000000,460,8
groovy,2992,2019.000000,2992,4
hydro,4636,2019.000000,4636,2
indigo,6801,2019.000000,6753,1
jade,1947,2019.000000,1947,5
kinetic,3430,2019.000000,3347,3
lunar,1086,2019.000000,1054,6
melodic,792,2019.000000,716,7
ardent,199,2019.000000,199,11
bouncy,200,2019.000000,198,10
crystal,202,2019.000000,76,9
dashing,NA,2019.000000,NA,13
eloquent,NA,2019.000000,NA,14
fuerte,460,2019.080000,460,8
groovy,2992,2019.080000,2992,4
hydro,4636,2019.080000,4636,2
indigo,6842,2019.080000,6801,1
jade,1947,2019.080000,1947,5
kinetic,3541,2019.080000,3430,3
lunar,1117,2019.080000,1086,6
melodic,870,2019.080000,792,7
ardent,199,2019.080000,199,11
bouncy,201,2019.080000,200,10
crystal,238,2019.080000,202,9
dashing,NA,2019.080000,NA,13
eloquent,NA,2019.080000,NA,14
fuerte,460,2019.160000,460,8
groovy,2992,2019.160000,2992,4
hydro,4636,2019.160000,4636,2
indigo,6865,2019.160000,6842,1
jade,1947,2019.160000,1947,5
kinetic,3633,2019.160000,3541,3
lunar,1147,2019.160000,1117,6
melodic,956,2019.160000,870,7
ardent,199,2019.160000,199,11
bouncy,201,2019.160000,201,10
crystal,272,2019.160000,238,9
dashing,NA,2019.160000,NA,13
eloquent,NA,2019.160000,NA,14
fuerte,460,2019.250000,460,8
groovy,2992,2019.250000,2992,4
hydro,4636,2019.250000,4636,2
indigo,6895,2019.250000,6865,1
jade,1947,2019.250000,1947,5
kinetic,3756,2019.250000,3633,3
lunar,1173,2019.250000,1147,6
melodic,1067,2019.250000,956,7
ardent,199,2019.250000,199,11
bouncy,201,2019.250000,201,10
crystal,311,2019.250000,272,9
dashing,NA,2019.250000,NA,13
eloquent,NA,2019.250000,NA,14
fuerte,460,2019.330000,460,8
groovy,2992,2019.330000,2992,4
hydro,4636,2019.330000,4636,2
indigo,6908,2019.330000,6895,1
jade,1947,2019.330000,1947,5
kinetic,3842,2019.330000,3756,3
lunar,1200,2019.330000,1173,6
melodic,1145,2019.330000,1067,7
ardent,199,2019.330000,199,11
bouncy,201,2019.330000,201,10
crystal,333,2019.330000,311,9
dashing,88,2019.330000,NA,12
eloquent,NA,2019.330000,NA,14
fuerte,460,2019.410000,460,8
groovy,2992,2019.410000,2992,4
hydro,4636,2019.410000,4636,2
indigo,6916,2019.410000,6908,1
jade,1947,2019.410000,1947,5
kinetic,3896,2019.410000,3842,3
lunar,1223,2019.410000,1200,6
melodic,1190,2019.410000,1145,7
ardent,199,2019.410000,199,12
bouncy,201,2019.410000,201,11
crystal,343,2019.410000,333,9
dashing,245,2019.410000,88,10
eloquent,NA,2019.410000,NA,14
fuerte,460,2019.500000,460,8
groovy,2992,2019.500000,2992,4
hydro,4636,2019.500000,4636,2
indigo,6925,2019.500000,6916,1
jade,1947,2019.500000,1947,5
kinetic,3976,2019.500000,3896,3
lunar,1238,2019.500000,1223,7
melodic,1262,2019.500000,1190,6
ardent,199,2019.500000,199,12
bouncy,201,2019.500000,201,11
crystal,349,2019.500000,343,9
dashing,288,2019.500000,245,10
eloquent,3,2019.500000,NA,13
fuerte,460,2019.580000,460,8
groovy,2992,2019.580000,2992,4
hydro,4636,2019.580000,4636,2
indigo,6925,2019.580000,6925,1
jade,1947,2019.580000,1947,5
kinetic,4045,2019.580000,3976,3
lunar,1238,2019.580000,1238,7
melodic,1351,2019.580000,1262,6
ardent,199,2019.580000,199,12
bouncy,201,2019.580000,201,11
crystal,349,2019.580000,349,9
dashing,316,2019.580000,288,10
eloquent,7,2019.580000,3,13
fuerte,460,2019.660000,460,8
groovy,2992,2019.660000,2992,4
hydro,4636,2019.660000,4636,2
indigo,6925,2019.660000,6925,1
jade,1947,2019.660000,1947,5
kinetic,4144,2019.660000,4045,3
lunar,1238,2019.660000,1238,7
melodic,1453,2019.660000,1351,6
ardent,199,2019.660000,199,12
bouncy,201,2019.660000,201,11
crystal,362,2019.660000,349,10
dashing,371,2019.660000,316,9
eloquent,7,2019.660000,7,13
fuerte,460,2019.750000,460,8
groovy,2992,2019.750000,2992,4
hydro,4636,2019.750000,4636,2
indigo,6925,2019.750000,6925,1
jade,1947,2019.750000,1947,5
kinetic,4211,2019.750000,4144,3
lunar,1238,2019.750000,1238,7
melodic,1522,2019.750000,1453,6
ardent,199,2019.750000,199,12
bouncy,201,2019.750000,201,11
crystal,367,2019.750000,362,10
dashing,440,2019.750000,371,9
eloquent,97,2019.750000,7,13
fuerte,460,2019.830000,460,9
groovy,2992,2019.830000,2992,4
hydro,4636,2019.830000,4636,2
indigo,6925,2019.830000,6925,1
jade,1947,2019.830000,1947,5
kinetic,4268,2019.830000,4211,3
lunar,1238,2019.830000,1238,7
melodic,1589,2019.830000,1522,6
ardent,199,2019.830000,199,13
bouncy,201,2019.830000,201,12
crystal,374,2019.830000,367,10
dashing,530,2019.830000,440,8
eloquent,223,2019.830000,97,11
fuerte,460,2019.910000,460,9
groovy,2992,2019.910000,2992,4
hydro,4636,2019.910000,4636,2
indigo,6925,2019.910000,6925,1
jade,1947,2019.910000,1947,5
kinetic,4358,2019.910000,4268,3
lunar,1238,2019.910000,1238,7
melodic,1702,2019.910000,1589,6
ardent,199,2019.910000,199,13
bouncy,201,2019.910000,201,12
crystal,375,2019.910000,374,10
dashing,565,2019.910000,530,8
eloquent,308,2019.910000,223,11
fuerte,460,2020.000000,460,9
groovy,2992,2020.000000,2992,4
hydro,4636,2020.000000,4636,2
indigo,6925,2020.000000,6925,1
jade,1947,2020.000000,1947,5
kinetic,4409,2020.000000,4358,3
lunar,1238,2020.000000,1238,7
melodic,1755,2020.000000,1702,6
ardent,199,2020.000000,199,13
bouncy,201,2020.000000,201,12
crystal,382,2020.000000,375,10
dashing,602,2020.000000,565,8
eloquent,339,2020.000000,308,11
